From	To
P05108	CYP11A1
P00325	ADH1B
P23219	PTGS1
Q16539	MAPK14
P24941	CDK2
P23975	SLC6A2
P08173	CHRM4
P48169	GABRA4
P10635	CYP2D6
P08913	ADRA2A
P05023	ATP1A1
P07477	PRSS1
P08254	MMP3
P18031	PTPN1
P21549	AGXT
P21266	GSTM3
P10632	CYP2C8
P08684	CYP3A4
P34903	GABRA3
P20645	M6PR
Q14534	SQLE
P33261	CYP2C19
P04035	HMGCR
Q03181	PPARD
P49721	PSMB2
P07195	LDHB
P06276	BCHE
P11217	PYGM
Q9Y233	PDE10A
P07949	RET
Q16445	GABRA6
Q14957	GRIN2C
P15085	CPA1
Q9UJT1	TUBD1
P07998	RNASE1
P43681	CHRNA4
P24462	CYP3A7
Q9UN88	GABRQ
Q9Y663	HS3ST3A1
P17612	PRKACA
P10768	ESD
P16234	PDGFRA
P28070	PSMB4
Q13224	GRIN2B
P37231	PPARG
P18507	GABRG2
P41145	OPRK1
Q14432	PDE3A
P04798	CYP1A1
P12318	FCGR2A
P31994	FCGR2B
P15056	BRAF
P00491	PNP
P35968	KDR
P00352	ALDH1A1
P08588	ADRB1
P05177	CYP1A2
P11712	CYP2C9
P21397	MAOA
P30613	PKLR
P42330	AKR1C3
P08253	MMP2
P05981	HPN
P39900	MMP12
P11586	MTHFD1
P03372	ESR1
O60760	HPGDS
P11509	CYP2A6
P08637	FCGR3A
O43526	KCNQ2
O14764	GABRD
Q07343	PDE4B
P30085	CMPK1
P15291	B4GALT1
P20815	CYP3A5
P15531	NME1
P62158	CALM1
P62158	CALM2
P62158	CALM3
P14867	GABRA1
Q16698	DECR1
P06213	INSR
P13995	MTHFD2
Q8WWT9	SLC13A3
Q6P996	PDXDC1
O14521	SDHD
O14757	CHEK1
P49789	FHIT
Q9Y5Y4	PTGDR2
Q08493	PDE4C
P02795	MT2A
P35367	HRH1
P00492	HPRT1
Q15759	MAPK11
P61626	LYZ
P31350	RRM2
P35462	DRD3
P08100	RHO
P68871	HBB
P17405	SMPD1
Q15822	CHRNA2
P41231	P2RY2
P31645	SLC6A4
P02745	C1QA
P06576	ATP5F1B
P31995	FCGR2C
P35368	ADRA1B
P22033	MMUT
P25100	ADRA1D
Q9NY47	CACNA2D2
Q494W8	CHRFAM7A
O00519	FAAH
P45984	MAPK9
Q15120	PDK3
P11511	CYP19A1
P34896	SHMT1
Q14832	GRM3
Q9UK17	KCND3
P08172	CHRM2
Q86VU5	COMTD1
P28335	HTR2C
P15692	VEGFA
Q9UNI1	CELA1
P35372	OPRM1
P00749	PLAU
Q04828	AKR1C1
P35354	PTGS2
P00734	F2
P20813	CYP2B6
P14618	PKM
P18089	ADRA2B
P61313	RPL15
P11473	VDR
P04406	GAPDH
P08908	HTR1A
P14778	IL1R1
P00439	PAH
O43776	NARS1
P29475	NOS1
P54855	UGT2B15
P28223	HTR2A
Q12879	GRIN2A
P55017	SLC12A3
Q9NVS9	PNPO
O75306	NDUFS2
